I1,I2,I3,R1,R2,R3
6342,6439,6782,5450,6603,2213
911,799,910,670,822,283
6,7,4,5,1,0
0,2,0,1,5,0
8,15,11,9,21,2
1009,1212,1388,713,1032,308
6054,6261,5726,5356,5849,2324
0,0,0,0,0,0
629,652,741,598,955,279
4,7,11,17,13,6
1,4,6,1,2,0
3008,3147,3065,2617,3178,1070
1,9,13,6,15,4
39,42,39,49,49,10
115,127,152,263,356,142
269,288,345,266,338,101
375,397,423,154,199,77
17,23,17,20,20,11
7,10,11,9,13,10
505,510,672,468,680,181
4600,7127,8053,5502,11516,2277
118,155,154,164,217,83
85,100,115,102,166,52
244,241,199,142,229,75
1344,1252,1211,1071,1238,423
110,203,341,104,101,34
134,221,190,178,209,66
1045,1201,1188,1165,1485,437
5,6,21,12,22,5
9,12,9,7,8,4
27,20,24,28,37,21
138,166,169,185,209,72
543,678,765,1521,1934,698
121,118,149,91,156,41
132,189,219,160,231,42
6094,5198,6866,5988,8414,1966
52,67,75,61,126,21
427,424,317,1079,1113,475
42,76,78,69,121,31
287,322,345,275,388,99
2379,2833,3073,2399,3201,985
9,12,13,6,12,2
15,19,20,21,17,11
2,15,3,5,0,1
800,853,856,899,1187,421
20,43,58,47,49,23
0,0,0,0,0,0
40,53,65,39,45,12
17,10,29,51,57,19
52,46,75,45,93,33
3346,3457,3829,3097,4154,1376
4773,5408,5822,4727,5885,2003
3,20,23,24,21,12
28,38,31,26,45,21
0,1,2,0,1,0
80,81,90,82,105,18
112,151,159,190,260,99
25,36,35,27,25,9
1679,1908,2048,1801,2138,694
9,4,10,15,9,3
0,0,0,0,0,0
16,14,22,14,11,9
0,0,0,0,1,0
14,20,21,23,20,9
11,20,14,13,13,1
204,249,207,207,299,72
0,0,0,0,0,0
186,189,142,179,188,87
466,493,571,453,634,191
1390,1349,1157,1425,1345,547
9,6,9,5,8,1
123,122,144,139,145,61
3,4,3,4,4,0
16,28,37,71,78,23
0,0,0,0,0,0
1571,1626,1879,1558,2085,601
17,7,12,7,20,7
2647,2266,2582,2204,2687,1050
1560,1643,1748,1324,1697,566
0,5,2,0,2,0
129,141,130,112,141,47
24,34,16,23,27,10
0,0,0,1,0,0
0,4,3,3,5,0
75,95,63,72,94,25
531,336,278,416,240,176
19,23,51,44,54,11
39,43,59,36,46,20
3275,2940,3255,2805,3279,1329
183,193,209,185,291,71
102,130,112,23,49,11
423,442,508,480,712,234
278,337,481,296,423,147
164,188,264,273,429,131
1170,1262,1258,1073,1412,459
4,6,8,9,15,0
62,61,68,54,69,22
59,75,55,78,57,26
3,2,0,2,0,1
36,66,54,39,51,20
136,102,62,114,85,38
20,35,26,23,37,11
16,26,21,24,45,11
13,17,20,22,15,5
1,2,2,4,2,0
2,11,12,11,21,2
35,51,63,108,151,60
44,54,61,11,25,7
6,4,7,6,8,1
7,9,8,84,83,34
1,1,2,1,1,0
1502,1774,1860,1690,2327,688
5,14,17,14,4,3
4,9,5,2,6,0
51,67,51,65,92,25
30,46,38,28,37,15
224,224,292,187,286,112
2,9,0,3,5,1
9,8,16,7,11,4
9198,12098,10664,8204,10636,2931
0,0,0,0,0,0
1,1,1,3,6,1
64,87,121,75,138,37
1936,2139,2856,1681,2278,774
43,41,66,40,70,15
5,13,7,4,6,0
108,158,186,134,169,44
20377,19748,21359,15894,18748,6939
2666,3039,3067,2892,3299,1108
2,10,4,8,9,6
118,202,256,174,306,68
76,96,67,90,114,40
366,338,1372,305,449,179
43,56,48,557,566,222
556,744,822,579,845,291
120,150,153,140,144,56
37,30,35,36,57,17
3,7,9,4,4,0
0,6,7,5,4,0
112,121,145,200,256,104
0,0,0,0,0,0
22,46,41,2227,2195,853
23,19,22,20,44,14
306,351,377,329,424,114
5,5,2,3,8,2
224,222,243,233,255,85
17,37,36,24,39,14
0,0,0,0,0,0
3,3,1,3,0,0
28,33,48,30,50,20
170,132,195,107,209,46
443,558,610,138,166,58
4,1,4,2,6,0
